GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With an Internet subscription,Margin of Error; Total: - With an Internet subscription,Estimate; Total: - With an Internet subscription - Dial-up with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Dial-up with no other type of Internet subscription,Estimate; Total: - With an Internet subscription - Broadband of any type,Margin of Error; Total: - With an Internet subscription - Broadband of any type,Estimate; Total: - With an Internet subscription - Cellular data plan,Margin of Error; Total: - With an Internet subscription - Cellular data plan,Estimate; Total: - With an Internet subscription - Cellular data plan - Cellular data plan with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Cellular data plan - Cellular data plan with no other type of Internet subscription,"Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL","Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL - Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL - Broadband such as cable, fiber optic or DSL with no other type of Internet subscription",Estimate; Total: - With an Internet subscription - Satellite Internet service,Margin of Error; Total: - With an Internet subscription - Satellite Internet service,Estimate; Total: - With an Internet subscription - Satellite Internet service - Satellite Internet service with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Satellite Internet service - Satellite Internet service with no other type of Internet subscription,Estimate; Total: - With an Internet subscription - Other service with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Other service with no other type of Internet subscription,Estimate; Total: - Internet access without a subscription,Margin of Error; Total: - Internet access without a subscription,Estimate; Total: - No Internet access,Margin of Error; Total: - No Internet access
7950000US3603803,3603803,"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",58217,3433,45628,3213,0,192,45628,3213,38371,3199,5770,1548,38894,3057,6998,1479,1626,706,0,192,102,171,1679,732,10910,2052
7950000US3603804,3603804,"NYC-Manhattan Community District 11--East Harlem PUMA, New York",51915,3050,39206,2753,143,171,39063,2748,33501,2795,5494,1255,33251,2776,5104,1372,1420,742,0,192,0,192,588,378,12121,1965
7950000US3603805,3603805,"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",111507,5770,102678,5879,158,196,102520,5854,91389,5363,4893,1328,96902,5662,10648,2427,2836,816,0,192,0,192,1593,811,7236,2163
7950000US3603806,3603806,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",98941,4348,89432,4108,342,341,89090,4135,79678,3899,5895,1399,81793,4068,8416,1972,1920,827,0,192,0,192,1402,926,8107,1937
7950000US3603807,3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",81546,4370,74326,4105,368,445,73958,4152,64908,3318,5038,1580,68090,4218,8518,2204,1990,661,0,192,0,192,895,660,6325,1974
7950000US3603808,3603808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",75794,4127,67967,3814,309,388,67658,3746,56161,3529,4616,1825,62685,3716,10816,2412,1506,725,223,270,0,192,1318,743,6509,2420
7950000US3603809,3603809,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",76131,3773,41928,3001,107,127,41821,2999,32438,2444,4366,1277,37096,2798,9288,1966,718,491,70,113,0,192,10517,2238,23686,3053
7950000US3603810,3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",73278,3529,68331,3731,160,193,68171,3688,57305,3315,5566,1637,62038,3244,10248,2153,1755,592,140,164,0,192,1237,614,3710,1149
7950000US3603901,3603901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",57734,2788,49569,2673,530,446,49039,2712,31316,1975,3595,1030,44395,2782,16641,2304,1878,706,23,37,333,413,1783,786,6382,1340
7950000US3603902,3603902,"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",47452,2266,38572,2524,542,423,38030,2472,28499,1923,2764,754,34371,2342,8016,1570,2100,678,320,396,382,466,1289,656,7591,1527
7950000US3603903,3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",59103,2653,43471,2374,339,324,43132,2404,29152,1776,4099,939,37815,2462,9780,1665,2337,771,73,100,853,675,2525,963,13107,2221
7950000US3604001,3604001,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",66037,2772,47136,2493,493,480,46643,2406,43015,2484,4498,1018,41366,2409,3245,830,1415,576,59,98,35,58,3105,1129,15796,2081
7950000US3604002,3604002,"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",47709,2375,36375,2208,1743,646,34632,2129,30347,1807,7668,1564,26134,2176,3912,791,1439,472,127,140,0,192,2357,766,8977,1419
7950000US3604003,3604003,"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",52074,2325,40280,2084,769,380,39511,2089,36283,2089,5787,1220,32757,2080,3003,939,1684,572,0,192,0,192,972,443,10822,1314
7950000US3604004,3604004,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",60292,2174,51646,2036,84,141,51562,2027,46075,2293,3060,787,48348,1984,5209,1279,1015,412,44,72,0,192,1178,573,7468,1135
7950000US3604005,3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",46522,2212,41643,2077,65,108,41578,2073,36710,1660,3425,972,37685,2028,4642,1048,1277,496,0,192,0,192,878,626,4001,897
7950000US3604006,3604006,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",56005,2627,45290,2634,128,205,45162,2630,38446,2556,6072,1454,38538,2504,6529,1334,1727,588,42,70,0,192,1593,682,9122,1447
7950000US3604007,3604007,"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",42579,2316,30137,2342,27,46,30110,2346,25425,2234,5689,1209,23628,2084,4337,1086,1586,547,247,239,0,192,1355,555,11087,1616
7950000US3604008,3604008,"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",54506,2965,42077,2887,131,158,41946,2901,23857,2245,4596,1019,35789,2762,16257,2102,2573,719,772,416,63,105,1215,599,11214,1527
7950000US3604009,3604009,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",65735,2213,57622,2350,0,192,57622,2350,45490,2195,6206,1006,50021,2166,11188,1387,4367,875,311,231,0,192,1449,490,6664,1206
7950000US3604010,3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",50017,2416,39349,2458,115,97,39234,2458,32506,2406,4651,1073,34034,2278,6579,1263,1551,497,23,38,25,42,858,479,9810,1587
7950000US3604011,3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",42176,1988,31816,1988,264,326,31552,1949,26243,2095,3748,1022,27064,2080,5024,1258,1270,585,74,120,162,263,1740,692,8620,1626
7950000US3604012,3604012,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",45627,1861,35278,2127,137,165,35141,2135,29842,2039,3209,669,31199,2048,5012,876,1164,377,83,123,0,192,1488,605,8861,1404
7950000US3604013,3604013,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",45191,2150,39721,2097,166,180,39555,2081,33630,1830,4770,1056,33480,1946,5152,1026,1843,486,479,298,192,237,569,305,4901,963
7950000US3604014,3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",42114,2200,28120,2075,286,250,27834,2065,22225,1829,4311,1043,22576,1827,5138,1033,1426,488,82,96,0,192,940,408,13054,1227
7950000US3604015,3604015,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",55953,2420,44079,2615,0,192,44079,2615,33905,2140,5458,1107,37447,2728,9354,1529,2302,714,421,374,165,235,1675,643,10199,1643
7950000US3604016,3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",58343,2563,49828,2412,126,120,49702,2397,40458,2311,5657,1208,43394,2144,8403,1071,1777,485,120,123,42,68,764,312,7751,1172
